Name,Rarity,Odds,Id
Pistolwhip,uncommon,3,5-100
Plated Demolisher,legendary,1,1-177
Rakano Sheriff,rare,1,3-131
Rallying Banner,uncommon,1,5-102
Rebuke,common,3,1-141
Regent's Blade,legendary,1,3-143
Reinforce,common,1,1-136
Reinforcements,rare,1,6-123
Relentless Deadshot,uncommon,1,6-100
Resolute Paladin,uncommon,1,4-130
"Reyna, the Unwavering",legendary,1,5-109
Righteous Intent,legendary,1,6-113
"Rolant, the Iron Fist",legendary,1,1-185
Rolant's Favor,common,1,0-18
Rolant's Honor Guard,rare,1,1-183
Rolant's Memorial,rare,1,4-123
Savior of the Meek,legendary,1,5-111
Secret Weapon,rare,1,6-135
Shamebearer,uncommon,3,4-111
Shard of the Spire,rare,1,2-85
Sheriff's Hat,uncommon,1,4-132
Shieldsmith,rare,1,3-133
"Sigvard, the Last Bastion",legendary,1,4-144
Silver Shortsword,uncommon,1,6-102
Silverwing Augmentor,uncommon,3,4-142
Silverwing Commander,rare,3,1-175
"Siraf, Grand Strategist",legendary,1,6-103
Siraf's Beacon,uncommon,1,5-93
Sky Crew,common,3,4-133
Spire Chaplain,rare,1,1-154
Spire Spellsword,common,1,4-103
Stalwart Shield,common,1,1-162
Steadfast Deputy,common,3,1-504
Steadfast Paladin,common,3,6-104
Steel-Eyed Pistoleer,uncommon,1,5-94
Strength of Many,common,1,2-73
Svetya's Bravery,uncommon,3,5-79
Tax Collector,legendary,1,3-113
Tinker Apprentice,uncommon,3,1-131
Tinker Enervator,rare,1,6-115
Tinker Overseer,rare,1,1-138
Touch of Grace,uncommon,1,6-106
Town Watchman,common,1,3-145
Treasury Gate,legendary,1,1-164
Treasury Guard,common,1,1-505
Unbreakable Alliance,legendary,1,4-143
Unseen Ghostblade,uncommon,1,6-132
Valkyrie Accuser,uncommon,3,6-133
Valkyrie Aspirant,common,1,1-127
Valkyrie Cadet,uncommon,3,3-123
Valkyrie Wings,rare,1,1-181
Wanted Poster,common,3,3-106
War Wagon,uncommon,1,6-116
Whetstone,rare,1,3-107
Withstand,rare,1,6-130
Workshop Tinker,common,1,4-113
Xulta Foil,legendary,1,5-101
Xulta Loyalist,legendary,1,6-134
Aerial Battle,rare,1,4-166
Aggressive Ursine,uncommon,1,6-164
Araktodon,common,1,1-238
Avalanche Yeti,uncommon,1,6-147
"Bam, Sneakeepeekee",rare,1,6-165
Belligerent Yeti,common,1,6-148
Big Brother,legendary,1,4-181
Blind Storyteller,uncommon,1,1-192
Boltcrafter Shaman,uncommon,3,2-131
Camp Surveyor,common,1,6-155
Campfire Watchman,uncommon,1,4-151
Celestial Omen,rare,3,1-241
Changeestik,common,1,4-152
Channel the Tempest,rare,1,1-244
Cloudsnake Harrier,rare,3,2-114
Cloudsnake Hatchling,common,1,2-103
Clutch of Talons,legendary,1,5-133
Cobalt Acolyte,common,1,1-212
Cobalt Coin,common,3,6-136
Cobalt Ring,uncommon,3,2-115
Court Mage,common,1,5-134
Crashing Avalanche,rare,1,6-156
Crystal Dirk,common,3,5-113
Crystallize,rare,3,1-232
Death from Above,common,1,6-166
Dinomancy Enthusiast,uncommon,1,6-137
"Eilyn, Queen of the Wilds",legendary,1,1-245
Eilyn's Favor,common,1,0-24
Eilyn's Sanctum,rare,1,6-157
Elder Meditant,common,1,6-167
Electropy,common,3,3-171
Elvish Swindler,uncommon,3,5-141
Farplace Finder,common,1,3-153
Fend Off,common,1,6-138
Ferocity of Bear,uncommon,1,6-171
Flash Freeze,common,1,1-209
Fledgling Owlet,common,1,6-149
Fragility,common,3,6-150
Furnish,common,1,6-139
Glacier Shaper,uncommon,1,5-128
Gleaming Shield,rare,3,4-183
Good Idea at the Time,uncommon,1,6-140
Gustrider,uncommon,3,6-141
Hatchery Hunter,rare,1,1-237
Herald's Song,common,3,1-196
Honored Skyguard,rare,1,4-155
Horde Plunderer,legendary,1,4-168
Ice Sprite,uncommon,1,1-214
Icebow,common,3,2-118
Icebreaker,uncommon,1,1-216
Icequake,uncommon,3,2-136
Icicle Marksman,uncommon,1,4-176
Innate Conviction,legendary,1,6-168
Jarrall's Frostkin,common,1,1-220
Jotun Birth Song,legendary,1,3-196
Jump Kick,common,3,3-154
Keen Saddleback,uncommon,1,6-173
"Kenna, Shaman of the Scale",legendary,1,4-191
"Larai, the Appraiser",legendary,1,6-159
Lens of Clarity,uncommon,3,5-132
Lethrai Secretweaver,uncommon,1,4-171
Lethrai Soothsayer,legendary,1,6-169
"Lida, Most Skilled",rare,1,3-189
Lightning Sprite,uncommon,1,6-160
Lightning Strike,common,3,1-197
Maelstrom Bell,rare,3,2-109
Magus of the Mist,legendary,1,1-233
Mass Polymorph,legendary,1,6-174
Master Cartographer,common,3,5-120
Meditation Trainer,uncommon,1,3-182
Mind Link,legendary,1,2-119
Mischief Yeti,common,3,5-115
Mistveil Drake,rare,3,1-242
North-Wind Herald,uncommon,1,1-240
Parry,uncommon,3,5-123
Pearlescent Drake,legendary,1,2-127
Permafrost,uncommon,3,1-193
Polymorph,uncommon,1,1-211
Powderglider,rare,3,3-155
Primal Incarnation,uncommon,3,0-30
Psionic Savant,uncommon,1,1-360
Re-read,uncommon,1,6-153
Read the Runes,uncommon,1,6-152
Reclusive Scholar,uncommon,3,5-138
Regression,rare,3,3-184
Rejection,rare,1,5-136
Rimescale Draconus,legendary,1,1-246
Sack the City,legendary,1,4-184
Sapphire Dragon,uncommon,3,1-236
Savagery,rare,1,5-117
Scaly Gruan,common,1,1-215
Second Sight,common,1,1-207
Shadowlands Borderscout,rare,1,5-139
Shaluuk Captain,rare,1,5-145
Shapeshifter's Mask,rare,1,5-129
Sinister Opportunist,common,3,3-157
Skycrag Wyvarch,uncommon,3,1-247
Skysnapper,common,1,1-208
Snow Pelting,rare,3,3-158
Snowdrift Delver,legendary,1,5-124
Snowfort,common,1,3-174
Snowsculptor,legendary,1,5-144
Spy Glass,rare,1,6-142
Staff of Stories,rare,1,1-234
Steely Resolve,common,1,5-112
Storm Spiral,uncommon,3,5-131
Storm Talisman,uncommon,1,3-164
Stormtamer Operative,rare,1,5-118
Substitute,uncommon,1,4-150
"Tamarys, Earthshaker",rare,1,6-178
Temple Shihan,rare,3,4-173
Tend the Flock,uncommon,1,4-162
Thudrock's Masterwork,legendary,1,6-162
Thunderbird,uncommon,1,0-27
Thunderstrike Dragon,rare,3,1-243
"Torgov, Icecap Trader",rare,3,2-126
Tundra Explorer,uncommon,1,1-204
Unchecked Rage,rare,3,3-191
Unseal,common,1,3-167
Vargo's Pelt,legendary,1,6-144
Warning Jolt,uncommon,1,6-145
Whispering Wind,rare,3,1-202
Windshaper,uncommon,1,1-230
Wisdom of the Elders,common,1,1-218
Yeti Bully,common,1,6-146
Yeti Snowslinger,common,3,1-203
Yeti Troublemaker,uncommon,1,1-222
"Acantha, the Huntress",rare,3,5-185
Affliction,common,3,3-202
Amethyst Acolyte,common,1,1-276
Amethyst Coin,common,3,6-181
Amethyst Ring,uncommon,1,2-146
Angry Prophet,common,3,6-189
Argenport Ringmaster,rare,1,1-300
"Ashara, Ruthless Assassin",rare,1,3-220
"Ashara, the Deadshot",rare,1,1-295
Auric Captain,rare,1,5-180
Auric Reclaimer,uncommon,1,6-190
Azindel's Gift,rare,1,1-306
Back-Alley Bouncer,common,1,1-284
Banished Umbren,common,3,4-213
Beastcaller's Amulet,uncommon,1,1-282
Blackguard Sidearm,common,1,1-266
Blood Beetle,common,1,1-260
Bloodnurse,common,1,6-182
Borrowed Violence,common,1,5-149
Brash Shorthorn,uncommon,1,2-137
Cabal Bludgeoner,common,1,2-156
Cabal Cutthroat,uncommon,1,1-297
Cabal Recruiter,uncommon,1,1-283
Cabal Repeater,uncommon,1,6-191
Cowardice,uncommon,3,3-211
Crooked Alleyguide,common,1,6-197
Cut Ties,common,1,4-238
Dark Wisp,common,1,1-264
Darkweave Enchantress,uncommon,3,6-198
Devious Drone,rare,1,3-227
Devour,common,3,1-261
Devouring Shadow,uncommon,3,0-36
Direfang Spider,common,1,1-256
Direwood Beastcaller,rare,1,1-271
Direwood Prowler,uncommon,1,2-166
Direwood Rampager,common,1,1-301
Direwood Slasher,uncommon,1,5-151
Dizo's Office,legendary,1,5-182
Dizo's Racket,rare,1,6-206
Dreamsnatcher,rare,3,3-212
Drifting Death,uncommon,3,3-239
Elder Astrologer,rare,3,5-175
Eviscerate,common,3,6-213
Fallen Oni,common,3,2-138
Fearbinder,rare,1,4-203
Fenris Nightshade,rare,3,4-204
Ghostform,uncommon,1,1-258
Grenamender,common,1,3-204
Gunrustler,uncommon,3,3-241
Hair-Trigger Pistol,common,1,4-216
Headsman's Axe,uncommon,3,3-233
Heartstopper,legendary,1,6-207
Heirloom Seeker,uncommon,1,5-158
Horrifying Helm,uncommon,1,4-195
Horsesnatcher Bat,uncommon,1,1-304
Hostile Takeover,rare,3,6-220
Illicit Armament,uncommon,1,6-192
Impending Doom,rare,1,1-286
Jack's Knife,uncommon,3,2-139
Lethrai Bladewhirl,common,1,4-236
Lethrai Direbeast,uncommon,1,6-201
Lethrai Falchion,rare,1,1-285
Lethrai Intimidator,common,1,5-172
Lethrai Memory-Keeper,common,1,2-149
Lethrai Nightblade,uncommon,1,1-279
Lethrai Provocateur,legendary,1,4-228
Lethrai Ranger,common,1,1-270
"Livia, Hexweaver",rare,3,6-202
Malediction,rare,1,6-208
Malediction Reader,rare,3,3-242
Marionette Cross,rare,1,4-218
"Mazag, the Waking Terror",legendary,1,4-229
Means to an End,legendary,1,2-154
Minotaur Lighthoof,uncommon,1,2-163
Mournful Deathcap,rare,3,5-161
Nametaker,legendary,1,3-248
Obliviobot,uncommon,1,5-162
Oblivion Spike,rare,3,1-294
"Obrak, the Feaster",legendary,1,2-164
"Olly, Maniacal Graverobber",rare,1,6-193
Pilfer,common,1,1-254
Pillar of Dreams,rare,3,5-178
Ravenous Thornbeast,common,3,1-278
Razorquill,common,1,6-210
Relentless Gorehorn,rare,3,2-160
Repulsive Gorger,uncommon,1,3-246
Sabotage,common,3,1-252
Sadistic Glee,uncommon,3,5-181
Scarecrow,rare,1,6-215
Scavenging Vulture,common,1,1-265
Scheme,common,3,1-213
Secret Passage,uncommon,1,5-154
Shadowlands Guide,rare,3,1-280
Sinister Design,legendary,1,6-203
Sleeping Draught,uncommon,1,3-218
Slimespitter Slug,rare,1,2-167
Slumbering Stone,uncommon,1,1-255
Solitude,legendary,1,3-243
Soul Collector,uncommon,3,1-291
Spirit Drain,common,1,1-302
Spitefeeder,common,3,4-197
Spiteful Strike,uncommon,1,6-186
Sporefolk,uncommon,3,1-262
Surgeon's Saw,uncommon,1,4-220
"Tavia, Lethrai Raidleader",legendary,1,5-164
The End is Near,rare,3,4-237
Torrent of Spiders,rare,3,1-272
Touch of the Umbren,legendary,1,1-308
Umbren Deathwatcher,uncommon,3,4-221
Umbren Occluder,legendary,1,4-240
Unspeakable Torment,legendary,1,6-218
Vampire Bat,common,1,0-33
"Vara, Fate-Touched",legendary,1,1-307
Vara's Favor,common,1,0-35
Vara's Sanctum,rare,1,6-223
Venomspine Hydra,legendary,1,1-305
Vicious Rumors,common,3,6-188
"Vishni, Lethrai Highblood",legendary,1,6-204
Vizier's Tablet,uncommon,3,6-196
Void Drummer,legendary,1,4-222
Warlock's Brew,uncommon,1,5-165
Wingbrewer,legendary,1,4-223
Withering Touch,uncommon,1,6-212
Wretched Talon,uncommon,1,6-219
Xenan Fanatic,uncommon,3,2-162
Xenan Lifespeaker,uncommon,1,4-198
"Zelia, the Vain",legendary,1,3-244
Brilliant Discovery,uncommon,1,2-177
"Darya, Warrior Poet",legendary,1,5-186
Diogo Málaga,legendary,1,2-179
East Annex Smuggler,rare,3,6-227
Journeyman Armorer,common,3,2-175
Magus of Celerity,uncommon,3,4-241
Noble Firemane,uncommon,1,2-174
Praxis Insignia,uncommon,3,6-226
Recombobulate,rare,1,4-242
Seat of Impulse,uncommon,3,0-54
Shatterglass Mage,rare,1,2-181
A New Tomorrow,legendary,1,1-348
Combrei Healer,uncommon,1,1-333
Combrei Insignia,uncommon,3,6-230
Karmic Guardian,uncommon,1,1-341
Pearl Abbey Smuggler,rare,3,6-231
Penitent Bull,uncommon,1,5-188
Safe Return,common,3,1-330
Seat of Progress,uncommon,3,0-58
Serene Meditant,legendary,1,5-189
Shush,rare,1,3-259
Vodakhan's Staff,rare,3,1-336
Aid of the Hooru,legendary,1,2-230
"Aniyah, Arctic Sheriff",legendary,1,5-190
Bring Down,common,3,2-217
Champion of Order,rare,1,2-225
Duelist's Blade,uncommon,1,2-226
Highwind Glider,uncommon,1,2-227
Hooru Insignia,uncommon,3,6-232
Linebreaker's Shield,uncommon,3,4-254
Long Live the Queen,rare,1,4-255
Rime Conclave Smuggler,rare,3,6-233
Seat of Order,uncommon,3,0-51
Ancient of the Ice Caves,rare,1,4-262
Blight Pass Smuggler,rare,3,6-235
Feln Cauldron,legendary,1,1-380
Feln Insignia,uncommon,3,6-234
Gorgon Fanatic,uncommon,1,1-375
Lethrai Hideaway,uncommon,1,5-192
Seat of Cunning,uncommon,3,0-62
Skywalk Enforcer,uncommon,3,3-276
Spell Swipe,rare,1,1-373
Trickster's Cloak,common,3,1-369
"Zende, the Heart-Binder",legendary,1,5-193
Brimstone Altar,rare,3,1-399
Cen Wastes Smuggler,rare,3,6-229
Clan Huntcaller,uncommon,1,5-194
Combust,common,3,1-392
Seat of Chaos,uncommon,3,0-60
Smuggler's Stash,uncommon,3,1-396
Stonescar Insignia,uncommon,3,6-228
Stonescar Pickaxe,rare,3,4-263
"Syl, Hand of the Cabal",legendary,1,5-195
Treachery,uncommon,1,1-394
"Voprex, the Great Ruin",legendary,1,1-400
Bear Arms,common,1,5-196
Deadeye,uncommon,1,5-201
"Eaton, Seditious Noble",rare,1,5-199
Field Captain,uncommon,3,1-324
"Ijin, Imperial Armorer",legendary,1,1-326
Ijin's Workshop,legendary,1,5-200
Longhorn Sergeant,uncommon,1,1-318
Rakano Artisan,rare,1,1-312
Red Canyon Smuggler,rare,3,5-198
Renegade Valkyrie,common,1,1-321
Seat of Glory,uncommon,3,0-56
Tinker Dronedropper,rare,1,3-256
Amaran Camel,common,1,1-357
Colossal Pteriax,rare,1,5-205
"Curiox, the Collector",legendary,1,1-366
"Derry Cathain, Ripclaw Rider",rare,1,4-251
Great Valley Smuggler,rare,3,5-204
Hunting Pteriax,rare,1,1-363
Pteriax Hatchling,common,1,1-354
Seat of Wisdom,uncommon,3,0-63
Storm Lynx,uncommon,1,1-353
Torgov's Trading Post,legendary,1,5-203
Tunneling Gargantua,uncommon,1,5-207
Twinning Ritual,uncommon,3,1-79
Back for More,rare,1,5-209
Crownwatch Traitor,legendary,1,3-265
Hidden Road Smuggler,rare,3,5-210
Howling Kurtarr,rare,1,5-212
Knight of Sorrow,uncommon,1,4-257
Lost Scroll,common,1,5-208
Regent's Tomb,legendary,1,5-213
Resilient Wagoneer,uncommon,1,5-211
Rooftop Vigilante,uncommon,3,3-274
Sanguine Sword,common,1,2-238
Seat of Vengeance,uncommon,3,0-55
Unfinished Business,rare,3,4-256
Bloodthirsty Brawler,uncommon,1,4-259
Burn Them All,rare,3,5-218
Calderan Cradle,rare,3,2-192
Chunk Chunk,rare,3,5-217
"Crill, Merciless Pillager",legendary,1,4-260
Howling Peak Smuggler,rare,3,5-215
Iceberg Shineefinder,uncommon,1,5-216
Iceberg Warchief,uncommon,3,3-257
Knucklebones,legendary,1,2-197
Mortar,common,1,2-194
Seat of Fury,uncommon,3,0-53
Topaz Drake,common,1,2-198
Blistersting Claws,rare,1,5-225
Bloodcall Invoker,uncommon,1,2-211
Dread,rare,1,5-223
Ebon Dune Smuggler,rare,3,5-221
Lethrai Courtier,common,1,5-220
Sadistic Ritualist,uncommon,3,5-222
Seat of Mystery,uncommon,3,0-61
Shadowlands Bonepicker,uncommon,1,2-205
Siphon Vitality,rare,1,4-268
