Name,Rarity,Odds,Id
Numbing Cold,Uncommon,1,7-97
Pokpok's Slingshot,Uncommon,1,7-98
Skywatch Zealot,Uncommon,1,7-99
Yeti Gryffyn Rider,Common,1,7-100
Brutish Interloper,Uncommon,1,7-101
Cruelty,Common,1,7-102
Greed's Reward,Common,1,7-103
Rainfall Accord,Common,1,7-104
Thunderclaw Raven,Common,1,7-105
Tidecaller,Uncommon,1,7-106
"Blitrok, Linrei's Listener",Legendary,1,7-107
Daring Gryffyn,Rare,1,7-108
Fearstoker Raven,Uncommon,1,7-109
Inspired Prank,Rare,1,7-110
Reverberating Strike,Common,1,7-111
Tidal Forces,Rare,1,7-112
Yeti Traditionalist,Common,1,7-113
Greenstretch Empath,Uncommon,1,7-114
Prodigious Sorcery,Rare,1,7-115
Burr-Spore Fern,Legendary,1,7-116
Flight of Makkar,Legendary,1,7-117
Skyhorror Draconus,Common,1,7-118
Realitybreaker,Rare,1,7-119
Rosebloom Mandrake,Common,1,7-120
Emblem of Makkar,Rare,1,7-121
Bloodseeker,Rare,1,7-122
Edict of Makkar,Uncommon,1,7-123
Faceless One,Common,1,7-124
Fervent Siphoner,Common,1,7-125
Immortalize,Common,1,7-126
Makkar Evangel,Common,1,7-127
Malaise,Common,1,7-128
Reconnaissance,Common,1,7-129
Smokedancer,Uncommon,1,7-130
Unkindness,Uncommon,1,7-131
Calamity Oracle,Uncommon,1,7-132
Lethrai Dead Drop,Rare,1,7-133
Makkar's Bloodwolf,Common,1,7-134
Spectral Scythe,Rare,1,7-135
Sunset Priest,Common,1,7-136
Torture,Common,1,7-137
Vile Collaborator,Uncommon,1,7-138
Waylay,Rare,1,7-139
Befoul,Uncommon,1,7-140
Blood of Makkar,Uncommon,1,7-141
Dread Hellkite,Uncommon,1,7-142
Fell Ritual,Uncommon,1,7-143
"Incarnus, Makkar's Listener",Legendary,1,7-144
Marsh Dragon,Common,1,7-145
"Karvet, Solar Dragon",Legendary,1,7-146
Banewulf,Common,1,7-147
"Eremot, Death Incarnate",Legendary,1,7-148
Noxious Wyvarch,Rare,1,7-149
Vicious Rejuvenation,Legendary,1,7-150
Kairos' Choice,Uncommon,1,7-151
"Ramba, Arena Showman",Rare,1,7-152
Cheering Section,Rare,1,7-153
Champion Grappler,Common,1,7-154
"Kairos, Grand Champion",Legendary,1,7-155
Rakano Insignia,Uncommon,1,7-156
Acclaimed Artisan,Common,1,7-157
Rujin's Choice,Uncommon,1,7-158
Conspicuous Traveler,Rare,1,7-159
Gatekeeper's Halberd,Rare,1,7-160
"Rujin, Conflict Within",Legendary,1,7-161
Skycrag Insignia,Uncommon,1,7-162
Geminon's Choice,Uncommon,1,7-163
Wizened Crone,Common,1,7-164
Blood-Sun Staff,Rare,1,7-165
Geminon's Berserker,Rare,1,7-166
"Geminon, the Double Helix",Legendary,1,7-167
Voprex's Choice,Uncommon,1,7-168
Cremate,Rare,1,7-169
Cinder Dragon,Common,1,7-170
Cruel Wyvarch,Rare,1,7-171
"Voprex, Hope's End",Legendary,1,7-172
Aamri's Choice,Uncommon,1,7-173
Intrepid Longhorn,Common,1,7-174
Qirin Ascendant,Rare,1,7-175
Shen-Ra Speaks,Rare,1,7-176
"Aamri, Dragonbane",Legendary,1,7-177
Elysian Insignia,Uncommon,1,7-178
Sodi's Choice,Uncommon,1,7-179
Sodi's Spellshaper,Rare,1,7-180
Wanderlust Qirin,Common,1,7-181
Sodi the Metamorph,Legendary,1,7-182
Ila & Mizo,Rare,1,7-183
Xenan Insignia,Uncommon,1,7-184
Nahid's Faithful,Common,1,7-185
Worthy Cause,Rare,1,7-186
Nahid's Choice,Uncommon,1,7-187
"Zhen-Zu, Hand of Nahid",Rare,1,7-188
"Nahid, the Immortal",Legendary,1,7-189
Electrostatic Distortion,Rare,1,7-190
Parul's Choice,Uncommon,1,7-191
Misery Walker,Common,1,7-192
Forbidden-Rider Outcast,Rare,1,7-193
"Parul, Sealkeeper",Legendary,1,7-194
Argenport Insignia,Uncommon,1,7-195
Eloz's Choice,Uncommon,1,7-196
Eloz's Elite,Common,1,7-197
Cast into Shadow,Rare,1,7-198
"Nivia, Most Devoted",Rare,1,7-199
"Eloz, Martial Scholar",Legendary,1,7-200
Conservatory Alchemist,Rare,1,7-201
Felrauk's Choice,Uncommon,1,7-202
Wretched Raven,Common,1,7-203
Kindo Shadowstep,Rare,1,7-204
Felrauk the Outcast,Legendary,1,7-205
Xulta Arcanum,Legendary,1,7-206
Profane Nexus,Legendary,1,7-207
Den of Ordeals,Legendary,1,7-208
Bastion of the Dawn,Legendary,1,7-209
Outcast Fortress,Legendary,1,7-210
Ancient Manual,Common,1,7-211
Sacred Seal,Uncommon,1,7-212
"Varret, Hero-in-Training",Legendary,1,7-213
Sword of Judgement,Uncommon,1,7-214
